iter	Logloss
0	0.6919754707
1	0.6904796946
2	0.6891613432
3	0.687737252
4	0.6860720467
5	0.6846633176
6	0.6833830999
7	0.6820844448
8	0.6809899576
9	0.6800021967
10	0.6787821042
11	0.6772024632
12	0.6756180707
13	0.6744841787
14	0.6730203385
15	0.6716410457
16	0.6701457878
17	0.6691585305
18	0.6675549746
19	0.6654915712
20	0.6641196073
21	0.6628114228
22	0.6614450253
23	0.6598477254
24	0.65916221
25	0.6577710874
26	0.6564968934
27	0.654985333
28	0.6539440629
29	0.6525909536
30	0.6515350974
31	0.6503526982
32	0.6492016802
33	0.6480654782
34	0.6469282569
35	0.6457656038
36	0.6441423041
37	0.6431588895
38	0.6417863065
39	0.6402407276
40	0.6387515129
41	0.6375509136
42	0.6366481343
43	0.6352774683
44	0.6344570226
45	0.6332575277
46	0.6319822377
47	0.6310804377
48	0.6299249043
49	0.6292376701
50	0.6273941531
51	0.6263834214
52	0.6253008319
53	0.6241477448
54	0.6233053743
55	0.6215860248
56	0.6202664302
57	0.618587056
58	0.6173175062
59	0.6161454965
60	0.6147503792
61	0.6134098318
62	0.6124454883
63	0.6114223539
64	0.6101753918
65	0.6089389361
66	0.6073956271
67	0.605450708
68	0.6046635229
69	0.6035160532
70	0.6022979143
71	0.6010013235
72	0.6000124873
73	0.5988862977
74	0.5978277411
75	0.5966438371
76	0.5954349126
77	0.5946573688
78	0.5938654651
79	0.5928126014
80	0.591867099
81	0.5907420078
82	0.5895385645
83	0.5883897324
84	0.5872366392
85	0.5860819914
86	0.5846989447
87	0.5837324031
88	0.5828136431
89	0.5819003266
90	0.5809974707
91	0.5797705298
92	0.5791656849
93	0.5778270771
94	0.5768369047
95	0.5760919804
96	0.5743522796
97	0.5733186025
98	0.5723945042
99	0.5713572022
100	0.5703799013
101	0.5694628157
102	0.5680945874
103	0.5671031548
104	0.5659345054
105	0.5653941139
106	0.5647210813
107	0.5636609257
108	0.5623789442
109	0.561189508
110	0.5601516348
111	0.5590101061
112	0.5578251189
113	0.5571451303
114	0.556168378
115	0.555109676
116	0.5541802736
117	0.5532460936
118	0.5522203439
119	0.5511968142
120	0.5502009142
121	0.5491468566
122	0.5482983796
123	0.5474482933
124	0.5465090111
125	0.5454944695
126	0.5447117942
127	0.5433966195
128	0.5431539349
129	0.5425672057
130	0.5419899943
131	0.5409772968
132	0.5396012421
133	0.538751663
134	0.5374729232
135	0.5364624596
136	0.535458763
137	0.5347649492
138	0.533726604
139	0.5326232405
140	0.5317255058
141	0.530940439
142	0.5295513224
143	0.5285715893
144	0.52724311
145	0.5258867649
146	0.5251327869
147	0.5246523886
148	0.5241183511
149	0.5231756805
150	0.5226522684
151	0.521646347
152	0.5209010134
153	0.5200842807
154	0.5190797783
155	0.5182204459
156	0.5173700421
157	0.516677511
158	0.5156366113
159	0.5148246836
160	0.5140284476
161	0.5126274186
162	0.5125123329
163	0.511584198
164	0.5108672478
165	0.5099533583
166	0.5085989048
167	0.5074615789
168	0.5065208199
169	0.5055938406
170	0.5047045368
171	0.5040675365
172	0.5031034782
173	0.5026156835
174	0.5021267479
175	0.5011729762
